date,kursunsuz 95,motorin
2022-09-02,20.13,26.92
2022-09-03,18.66,24.52
2022-09-06,19.23,25.22
2022-09-07,19.23,25.99
2022-09-08,19.23,24.86
2022-09-09,19.23,24.86
2022-09-14,19.23,24.86
2022-09-15,19.23,24.86
2022-09-16,19.23,24.86
2022-09-17,19.23,24.86
2022-09-20,19.23,23.12
2022-09-22,19.23,23.12
2022-09-28,19.24,23.12
2022-09-30,19.24,23.12
2022-10-04,19.24,23.12
2022-10-05,19.86,24.22
2022-10-06,20.6,25.61
2022-10-07,20.6,27.15
2022-10-08,20.6,27.15
2022-10-11,20.6,28.53
2022-10-12,20.6,28.53
2022-10-13,20.6,26.41
2022-10-14,20.6,26.41
2022-10-15,20.62,27.42
2022-10-20,20.62,27.42
2022-10-22,20.63,26.37
2022-10-26,20.64,26.38
2022-10-27,20.65,26.38
2022-11-01,21.37,26.38
2022-11-02,21.37,26.38
2022-11-03,21.37,26.38
2022-11-04,22.68,26.38
2022-11-08,22.68,26.38
2022-11-10,22.68,26.38
2022-11-12,22.68,26.38
2022-11-15,22.68,24.84
2022-11-17,21.93,24.84
2022-11-19,21.19,24.84
2022-11-22,21.19,24.84
2022-11-23,20.07,24.84
2022-11-24,20.62,23.89
2022-11-25,20.16,23.89
2022-11-29,20.17,23.08
2022-11-30,20.17,22.5
2022-12-02,20.18,22.5
2022-12-03,20.19,23.66
2022-12-06,20.19,22.97
2022-12-08,18.14,21.1
2022-12-09,18.14,21.1
2022-12-10,17.42,21.1
2022-12-13,17.43,21.1
2022-12-16,18.51,21.1
2022-12-17,18.51,22.8
2022-12-20,17.92,22.03
2022-12-22,17.96,22.07
2022-12-23,18.62,22.07
2022-12-24,18.62,22.07
2022-12-27,18.62,22.07
2022-12-31,19.46,22.07
2023-01-01,19.47,22.08
2023-01-03,19.51,22.11
2023-01-04,19.5,22.11
2023-01-05,19.51,22.12
2023-01-06,19.51,22.12
2023-01-10,19.51,22.12
2023-01-11,18.89,22.12
2023-01-12,18.9,22.12
2023-01-13,19.69,22.12
2023-01-14,19.69,22.12
2023-01-17,20.36,22.12
2023-01-18,20.36,23.17
2023-01-19,20.41,23.2
2023-01-20,20.41,23.2
2023-01-21,20.41,23.2
2023-01-24,20.45,23.24
2023-01-25,21.71,23.24
2023-01-26,21.71,24.08
2023-01-27,21.1,23.47
2023-01-28,21.14,23.5
2023-02-01,21.14,23.5
2023-02-02,21.14,22.5
2023-02-03,21.14,21.87
2023-02-04,21.14,21.2
2023-02-07,21.14,21.2
2023-02-08,19.83,20.07
2023-02-09,19.83,20.07
2023-02-11,19.83,20.07
2023-02-14,20.92,21.28
2023-02-16,20.94,21.29
2023-02-22,20.94,21.29
2023-02-23,20.48,21.29
2023-02-24,20.46,20.68
2023-02-25,20.46,20.68
2023-03-01,20.48,20.68
2023-03-02,20.48,20.68
2023-03-04,20.48,21.59
2023-03-08,20.5,21.62
2023-03-10,20.5,21.62
2023-03-11,20.5,21.63
2023-03-14,20.5,21.63
2023-03-15,20.52,20.96
2023-03-16,20.52,20.96
2023-03-17,20.54,19.66
2023-03-21,20.56,20.5
2023-03-22,20.56,20.5
2023-03-23,20.58,20.53
2023-03-24,20.6,20.56
2023-03-28,21.4,20.54
2023-03-30,21.36,20.48
2023-03-31,21.32,20.42
2023-04-04,21.32,20.42
2023-04-05,22.44,20.42
2023-04-11,22.44,21.1
2023-04-14,22.46,21.12
2023-04-15,22.46,21.14
2023-04-20,22.46,21.14
2023-04-21,21.25,20.23
2023-04-25,21.25,19.76
2023-04-29,20.37,19.76
2023-05-03,20.41,19.75
2023-05-04,20.41,18.46
2023-05-05,20.41,17.97
2023-05-06,19.39,17.97
2023-05-09,19.81,18.63
2023-05-19,19.81,19.39
2023-05-23,20.57,19.39
2023-05-25,20.57,19.39
2023-05-26,20.57,19.39
2023-05-30,21.23,19.4
2023-05-31,21.23,19.4
2023-06-01,21.26,19.42
2023-06-02,21.26,19.42
2023-06-03,21.28,19.43
2023-06-06,21.29,19.43
2023-06-07,21.29,20.79
2023-06-08,21.29,20.79
2023-06-09,23.99,22.16
2023-06-10,24.02,22.21
2023-06-17,24.04,22.23
2023-06-20,24.04,23.87
2023-06-21,24.04,23.87
2023-06-24,24.06,23.9
2023-06-27,24.06,23.9
2023-06-28,24.08,23.92
2023-07-04,26.19,23.96
2023-07-06,26.19,24.86
2023-07-08,26.25,24.87
2023-07-10,26.65,25.25
2023-07-12,26.7,26.37
2023-07-13,26.7,26.37
2023-07-15,28.05,26.37
2023-07-16,34.05,32.37
2023-07-19,34.05,32.37
2023-07-21,34.05,33.92
2023-07-22,34.05,33.92
2023-07-25,36.05,33.92
2023-07-26,36.05,33.92
2023-07-28,36.05,35.35
2023-07-29,36.09,35.4
2023-08-01,36.09,36.47
2023-08-02,36.09,36.51
2023-08-03,36.09,36.51
2023-08-04,36.13,36.51
2023-08-05,36.13,36.55
2023-08-11,36.13,38.35
2023-08-12,36.16,38.38
2023-08-16,37.71,38.38
2023-08-18,37.71,36.87
2023-08-19,37.74,36.9
2023-08-22,37.74,37.9
2023-08-26,37.78,37.93
